"generation","date","day","incidence","cumulative_incidence"
0,"2014-06-01",0,1,1
1,"2014-06-15",14,21,22
2,"2014-06-29",28,55,77
3,"2014-07-13",42,64,141
4,"2014-07-27",56,122,263
5,"2014-08-10",70,314,577
6,"2014-08-24",84,683,1260
7,"2014-09-07",98,793,2053
8,"2014-09-21",112,934,2987
9,"2014-10-05",126,695,3682
10,"2014-10-19",140,464,4146
11,"2014-11-02",154,240,4386
12,"2014-11-16",168,230,4616
13,"2014-11-30",182,156,4772
14,"2014-12-14",196,100,4872
15,"2014-12-28",210,40,4912
16,"2015-01-11",224,13,4925
17,"2015-01-25",238,21,4946
18,"2015-02-08",252,16,4962
19,"2015-02-22",266,15,4977
20,"2015-03-08",280,2,4979
21,"2015-03-22",294,2,4981
